GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
 "20000","Kansas",4,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",114327697,116194953,118192478,119391647,123949777,130364544,137093586,139536841,134227031,135723241,139579438,141818180,141723361,145344140,148810517,153695326,155407884,158906333,160182322,156770113
 "20000","Kansas",4,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",80.616,81.932,83.341,84.186,87.400,91.924,96.669,98.391,94.647,95.702,98.421,100.000,99.933,102.486,104.930,108.375,109.582,112.049,112.949,110.543
 "20000","Kansas",4,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",88883571,91584153,95359890,99083017,105526330,114091890,123878736,128604326,125348913,128591336,136358893,141818180,144483193,150183624,154958197,160451040,164923263,172327508,176738510,175141786
 "20001","Allen, KS",4,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",411169,428264,444928,468287,445481,442793,450456,479995,487386,487751,511583,532026,519940,482963,490231,470725,467064,498430,537849,537007
 "20001","Allen, KS",4,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",77.284,80.497,83.629,88.020,83.733,83.228,84.668,90.220,91.609,91.678,96.158,100.000,97.728,90.778,92.144,88.478,87.790,93.685,101.095,100.936
 "20001","Allen, KS",4,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",328585,348223,366545,393272,382005,391260,407876,444968,457210,464703,496794,532026,532471,501429,518719,505069,504590,546057,599873,607820
 "20003","Anderson, KS",4,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",172105,181152,177289,176717,176623,173976,188227,210687,220682,202625,217276,230736,239854,247696,241447,285941,246617,243035,266839,279938
 "20003","Anderson, KS",4,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",74.590,78.511,76.836,76.589,76.548,75.401,81.577,91.311,95.643,87.817,94.166,100.000,103.952,107.351,104.642,123.926,106.883,105.331,115.647,121.324
 "20003","Anderson, KS",4,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",126048,133945,136265,143320,145636,148759,167322,193056,198070,187251,211887,230736,245532,252661,240033,276891,246943,247618,276586,290651
 "20005","Atchison, KS",4,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",611127,548685,510985,524830,506874,520989,566894,542241,525475,518197,547553,512747,532958,554190,581085,593297,677964,688237,689470,653366
 "20005","Atchison, KS",4,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",119.187,107.009,99.656,102.356,98.855,101.607,110.560,105.752,102.482,101.063,106.788,100.000,103.942,108.083,113.328,115.709,132.222,134.225,134.466,127.425
 "20005","Atchison, KS",4,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",457766,418255,395589,426359,424696,460163,518722,509777,484618,491964,539892,512747,538560,570669,600299,616166,713612,736948,752182,727287
 "20007","Barber, KS",4,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",158184,181948,198685,180145,191978,224468,195494,210729,218629,233231,242673,269433,297653,289203,241770,234668,239700,211938,205882,206714
 "20007","Barber, KS",4,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",58.710,67.530,73.742,66.861,71.253,83.312,72.558,78.212,81.144,86.564,90.068,100.000,110.474,107.338,89.733,87.097,88.965,78.661,76.413,76.722
 "20007","Barber, KS",4,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",117587,134420,158084,154281,171006,203838,193410,227908,191142,224591,251659,269433,310452,300205,209218,199805,214599,198460,191355,186697
 "20009","Barton, KS",4,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",896403,904747,946080,977501,1007668,1110605,1113010,1176730,1162861,1167391,1199035,1267996,1233424,1294881,1222358,1234964,1169192,1161532,1192574,1152933
